Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",156,672,539,154,82,26,1,45,116,117,120,25,165,7,5,1,,9,2,0.286494,0.179045,0.245498,0.729313,0.419258,0.590635,0.417082,1.00989,0.304141,3.85508,0.327051,-1.10579,-0.392115,136.159,56.7573,172.984,-1.4979,2.53392,56.30803406238556,-5.066081762313843,7.60909,2,,,,,,,1220,7.82051282,1220,7.82051282,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,178,105,37,7,28,103,95,49,6,117,7,6,1,,33,10,0.288235,0.0720544,0.17228,0.41824,0.344442,0.509853,0.361278,0.854295,0.221618,6.97161,0.313288,1.69436,1.59783,106.814,26.5847,130.398,3.29219,7.02273,27.619362354278564,14.297733306884766,6.67969,3.200000047683716,,,,,,,993.9,6.330573248,993.9,6.330573248,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,40,88,102,78,11,171,5,4,1,,8,2,0.23051,0.122036,0.268219,0.454989,0.329743,0.493627,0.347448,0.82337,0.263117,3.25199,0.252084,-1.31604,-0.308861,93.1122,17.7985,130.419,-1.62491,4.7388,21.227404236793518,11.888797760009766,6.36813,19.139999389648438,,,,,,,862.5,5.424528301,862.5,5.424528301,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282023,0.137747,0.241232,0.571014,0.38461,0.598682,0.407346,0.983292,0.316659,6.78794,0.311216,0.0704774,1.74703,132.21,51.9812,165.14,1.81751,0,54.23902630805969,-16.975000381469727,6.12387,1.090000033378601,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272234,0.186787,0.175438,1.06469,0.410555,0.528509,0.400188,0.939063,0.256274,4.79527,0.282337,-0.570734,1.0859,129.586,48.5302,163.028,0.515163,-7.26165,51.76014286279678,-14.811651229858398,6.11541,4.659999847412109,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,591,161,95,33,5,29,99,94,70,4,140,6,4,1,,22,5,0.273322,0.104559,0.208996,0.500292,0.354171,0.490161,0.361541,0.844332,0.216839,6.11707,0.311573,1.2606,1.18147,105.856,26.4537,135.04,2.44206,-2.11619,30.19475793838501,5.08380913734436,5.97584,14.489999771118164,,,,,,,963.2,6.174358974,963.2,6.174358974,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,31,95,101,48,5,151,9,4,1,,26,7,0.270435,0.0703345,0.219448,0.320507,0.330087,0.47669,0.344821,0.806777,0.206255,5.57303,0.308096,0.500728,1.5407,98.7487,17.6925,128.609,2.04143,6.53717,25.173059225082397,8.787170886993408,5.89026,10.710000038146973,,,,,,,912,5.735849056,912,5.735849056,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",159,686,607,159,99,31,1,28,102,85,60,2,125,12,5,2,,24,5,0.261227,0.0880548,0.181948,0.483954,0.337012,0.452406,0.341445,0.789419,0.191179,5.30148,0.284555,-0.483063,1.67888,96.8687,15.8125,122.787,1.19581,3.82205,19.723071098327637,10.67205286026001,5.44492,17,,,,,,,889.8,5.596226415,889.8,5.596226415,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",156,672,585,158,96,30,2,30,106,84,75,4,131,6,3,2,,26,5,0.269893,0.111953,0.194543,0.575468,0.357659,0.481211,0.360774,0.838871,0.211318,5.70831,0.299143,0.540472,1.8006,105.437,26.0352,136.465,2.34107,6.76039,31.384210348129272,-0.639610767364502,5.43302,14.3100004196167,,,,,,,958.6,6.144871794,958.6,6.144871794,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285666,0.140824,0.204131,0.68987,0.393343,0.511456,0.389106,0.904799,0.22579,5.72115,0.323913,1.1668,1.54986,117.117,40.1965,151.664,2.71666,-4.03589,42.5791232585907,-11.91088581085205,5.35372,7.400000095367432,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Corbin Carroll","ARI",154,665,578,149,82,27,12,28,106,93,71,3,139,9,5,2,,35,7,0.258504,0.10675,0.209267,0.510114,0.34644,0.493621,0.3586,0.840061,0.235117,8.12356,0.291858,2.21766,3.04169,103.165,24.5905,130.254,5.25935,5.01459,29.104065895080566,-1.8104133605957031,5.05612,8.229999542236328,,,,,,,953.2,6.189610389,953.2,6.189610389,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,97,87,73,3,77,4,5,1,,9,2,0.273872,0.111962,0.117609,0.951988,0.357973,0.467633,0.355961,0.825605,0.19376,4.53866,0.277605,-0.227249,-0.236042,99.5988,22.6782,129.939,-0.463291,-3.05524,22.637004882097244,3.9197609424591064,4.93307,62.970001220703125,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,98,102,88,6,96,3,3,1,,22,4,0.268128,0.134807,0.1472,0.915815,0.369356,0.504512,0.373186,0.873868,0.236384,5.28092,0.269614,0.0248132,1.6441,108.703,31.782,141.738,1.66891,-0.575497,33.87301969528198,-7.550497353076935,4.9091,17.690000534057617,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Alejandro Kirk","TOR",123,488,429,117,83,19,0,15,51,62,50,2,59,4,5,0,,1,0,0.273166,0.10172,0.120555,0.843764,0.35037,0.422963,0.337061,0.773333,0.149798,1.74127,0.283945,-1.30545,-0.75279,67.1172,9.50353,117.336,-2.05824,5.85251,7.90470552444458,14.752505779266357,4.89495,157.4600067138672,,,,,,,586.2,4.765853658,586.2,4.765853658,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Vladimir Guerrero Jr.","TOR",157,679,590,174,107,33,0,33,98,105,78,9,92,6,5,0,,5,2,0.294735,0.114361,0.13565,0.843057,0.380195,0.522129,0.383185,0.902324,0.227394,2.75961,0.299408,-0.398813,-0.966959,118.89,38.6612,149.109,-1.36577,-1.26722,37.93519997596741,-13.592215299606323,4.88164,18.56999969482422,,,,,,,1046.2,6.663694267,1046.2,6.663694267,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Junior Caminero","TBR",154,665,610,167,98,28,0,40,90,118,46,1,124,4,5,0,,6,2,0.273987,0.0684869,0.187158,0.36593,0.325908,0.520079,0.359248,0.845987,0.246092,3.35561,0.281544,-0.0633625,-0.344953,103.515,24.9404,131.134,-0.408315,-1.61748,23.994074165821075,0.5575207471847534,4.85369,14.859999656677246,,,,,,,938.2,6.092207792,938.2,6.092207792,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273351,0.0977005,0.117214,0.833522,0.346905,0.483238,0.347055,0.830143,0.209887,5.89076,0.271712,-0.0724456,2.31951,98.9729,18.7438,124.802,2.24706,1.5792,22.095478057861328,1.8042035102844238,4.83629,5.309999942779541,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Geraldo Perdomo","ARI",159,686,581,154,106,30,4,15,96,72,83,1,88,8,6,7,,23,6,0.266009,0.12166,0.128771,0.944777,0.362837,0.407983,0.339933,0.77082,0.141974,5.85105,0.288644,0.34546,0.805949,96.0265,14.9703,117.466,1.15141,0.443354,15.35234522819519,7.79335343837738,4.70321,85.19999694824219,,,,,,,832.1,5.233333333,832.1,5.233333333,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,25,96,89,66,6,173,4,3,1,,41,11,0.262286,0.0981561,0.257691,0.380906,0.337916,0.45911,0.341307,0.797026,0.196824,7.37595,0.328102,1.68633,2.67232,94.8163,15.4143,114.511,4.35865,0.909151,15.916363716125488,7.609151542186737,4.69442,10.34000015258789,,,,,,,897.4,5.752564102,897.4,5.752564102,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Pete Crow-Armstrong","CHC",149,644,591,150,88,30,5,26,88,92,35,1,155,9,6,4,,34,9,0.253547,0.054373,0.240135,0.226427,0.302552,0.455672,0.324148,0.758224,0.202124,7.10185,0.297358,0.812078,2.15382,81.8936,5.80001,109.429,2.9659,11.9331,10.162862539291382,14.233111143112183,4.68817,34.79999923706055,,,,,,,780.3,5.236912751,780.3,5.236912751,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
