Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.67157,32,32,0,0,,200,791,156,65,60,19,40,,7,245,10.9938,1.81363,6.06173,0.847876,0.309788,0.0511054,0.25868211314082146,0.210543,0.982098,0.286978,0.775213,,,2.62372,6.3369,6.18382,999,,,,,,,1189.6999999999998,5.948499999999999,1102,5.51,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.90595,32,32,0,0,,197,796,162,69,64,20,52,,5,245,11.1718,2.35811,4.73764,0.898314,0.307374,0.0648792,0.24249473214149475,0.219099,1.08364,0.299643,0.774771,,,2.81526,5.77308,5.89292,999,,,,,,,1109.6000000000001,5.632487309644671,1044,5.299492385786802,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.83913,32,32,0,0,,189,761,152,65,60,17,49,,6,223,10.6186,2.35104,4.51657,0.808429,0.293291,0.0649367,0.22835446894168854,0.215987,1.06664,0.290971,0.769158,,,2.82455,5.41145,5.83827,999,,,,,,,1075.3000000000002,5.689417989417991,1005,5.317460317460317,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",12,8,20,3.2166,32,32,0,0,,200,820,183,78,71,18,49,,7,193,8.69276,2.21039,3.93269,0.799788,0.235319,0.0598366,0.1754821427166462,0.239624,1.16221,0.298774,0.742733,,,3.19652,4.79748,5.15769,999,,,,,,,1000.8,5.004,984,4.92,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",15,9,20,3.18656,32,32,0,0,,202,836,191,79,72,16,45,,6,191,8.49242,2.00763,4.23006,0.712906,0.228328,0.0539775,0.17435050755739212,0.243526,1.16842,0.302939,0.736264,,,3.02983,4.5272,4.54127,999,,,,,,,1030.4,5.100990099009901,1031,5.103960396039604,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11,8,17,3.38853,29,29,0,0,,163,674,132,67,61,17,58,,5,202,11.1404,3.19579,3.48596,0.930961,0.298935,0.0857539,0.21318086981773376,0.215844,1.16588,0.292885,0.741057,,,3.1574,4.13371,3.70842,999,,,,,,,868.9000000000001,5.330674846625768,809,4.96319018404908,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,6,18,3.149,28,28,0,0,,165,677,138,62,58,18,44,,10,200,10.9081,2.40731,4.53122,0.953919,0.296279,0.0653861,0.23089297115802765,0.221868,1.10299,0.298031,0.760062,,,3.06392,3.98567,4.37882,999,,,,,,,878.8,5.326060606060606,829,5.024242424242424,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Fried","NYY",14,9,19,3.34831,31,31,0,0,,189,780,169,77,70,17,54,,7,175,8.36918,2.57901,3.24512,0.816728,0.224908,0.0693066,0.155601404607296,0.235637,1.18454,0.289308,0.735826,,,3.42621,3.88757,3.848,999,,,,,,,917.1000000000003,4.852380952380954,891,4.714285714285714,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12,9,18,3.59449,32,32,0,0,,183,766,153,79,73,22,69,,5,213,10.5272,3.39018,3.10521,1.06068,0.278871,0.0898075,0.18906381726264954,0.220956,1.21401,0.287558,0.746615,,,3.54239,3.8496,3.27945,999,,,,,,,889.8,4.862295081967213,833,4.551912568306011,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Hunter Greene","CIN",11,9,17,3.73449,31,31,0,0,,180,735,142,80,75,24,58,,13,212,10.6159,2.91727,3.63898,1.22182,0.288298,0.079225,0.2090732902288437,0.213851,1.11387,0.275056,0.725228,,,3.73641,3.83957,3.75841,999,,,,,,,878.5999999999999,4.88111111111111,799,4.438888888888889,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Hunter Brown","HOU",13,8,19,3.34563,31,31,0,0,,183,759,157,74,68,19,60,,7,197,9.66034,2.96559,3.25748,0.939281,0.258969,0.0795,0.17946934700012207,0.227494,1.18896,0.290399,0.751665,,,3.44578,3.77934,3.98734,999,,,,,,,905.3,4.946994535519125,861,4.704918032786885,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",12,10,17,3.72207,31,31,0,0,,178,746,170,80,74,21,47,,5,186,9.37441,2.38309,3.93372,1.08326,0.249028,0.063306,0.1857222244143486,0.244349,1.21512,0.304322,0.733221,,,3.49693,3.69273,3.36882,999,,,,,,,832.9000000000001,4.679213483146068,833,4.679775280898877,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Jacob deGrom","TEX",11,8,17,3.50173,29,29,0,0,,169,679,143,71,66,23,40,,4,188,10.0174,2.11057,4.74629,1.22998,0.276354,0.0582253,0.21812893822789192,0.224928,1.08262,0.282221,0.74193,,,3.4567,3.67049,3.30797,999,,,,,,,839.9000000000003,4.969822485207103,790,4.674556213017752,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Framber Valdez",,13,10,19,3.43481,31,31,0,0,,195,813,177,81,74,17,65,,8,182,8.38589,3.00076,2.79458,0.79314,0.223361,0.0799265,0.14343488216400146,0.239904,1.24376,0.296324,0.738357,,,3.54807,3.63881,4.15504,999,,,,,,,918.7,4.711282051282051,899,4.61025641025641,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12,7,16,3.37748,26,26,0,0,,155,627,129,63,58,17,44,,5,165,9.53706,2.52134,3.78254,0.968098,0.262572,0.0694169,0.19315513223409653,0.223369,1.11196,0.283275,0.731518,,,3.3496,3.63307,3.57268,999,,,,,,,785.5000000000001,5.0677419354838715,737,4.754838709677419,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jesús Luzardo","PHI",12,10,17,3.77577,31,31,0,0,,179,742,157,81,75,23,56,,5,197,9.94311,2.80462,3.54526,1.16483,0.265914,0.0750054,0.19090835005044937,0.23115,1.19348,0.291542,0.729817,,,3.6269,3.54678,3.38979,999,,,,,,,844.5000000000002,4.717877094972068,807,4.5083798882681565,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
