Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.66863,32,32,0,0,,200,790,156,65,59,19,40,,7,245,10.9969,1.81283,6.06617,0.84838,0.310002,0.0511035,0.2588987536728382,0.210276,0.980701,0.286636,0.775347,,,2.62344,6.33664,6.18279,6.889999866485596,,,,,,,1189.6999999999998,5.948499999999999,1102,5.51,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.90058,32,32,0,0,,197,796,162,69,64,20,52,,5,245,11.1845,2.36143,4.73633,0.894352,0.307722,0.0649706,0.242751345038414,0.218898,1.08318,0.299647,0.774844,,,2.80784,5.79879,5.89967,11.789999961853027,,,,,,,1109.6000000000001,5.632487309644671,1044,5.299492385786802,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.84096,32,32,0,0,,189,761,152,65,60,17,49,,6,223,10.6206,2.35198,4.51559,0.808429,0.293284,0.0649491,0.2283344566822052,0.216048,1.06713,0.291065,0.769061,,,2.82446,5.41285,5.83945,10.25,,,,,,,1075.3000000000002,5.689417989417991,1005,5.317460317460317,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",12,8,20,3.21424,32,32,0,0,,200,820,183,78,71,18,49,,7,193,8.68894,2.2094,3.93271,0.802798,0.235312,0.0598347,0.17547748237848282,0.239421,1.16095,0.298396,0.743009,,,3.20134,4.78549,5.15763,25.610000610351562,,,,,,,1000.8,5.004,984,4.92,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",15,9,20,3.18556,32,32,0,0,,202,836,191,79,72,16,45,,6,191,8.49756,2.00803,4.23179,0.711908,0.228466,0.053988,0.17447824776172638,0.243489,1.16831,0.302977,0.736235,,,3.02738,4.5336,4.54127,60.630001068115234,,,,,,,1030.4,5.100990099009901,1031,5.103960396039604,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11,8,17,3.40388,29,29,0,0,,163,674,132,67,62,17,58,,5,202,11.1478,3.19613,3.48791,0.955779,0.299201,0.0857823,0.2134186252951622,0.21556,1.16465,0.291765,0.74192,,,3.19168,4.0634,3.7084,46.38999938964844,,,,,,,868.9000000000001,5.330674846625768,809,4.96319018404908,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,6,18,3.14754,28,28,0,0,,165,676,138,62,58,18,44,,10,200,10.9041,2.40856,4.52722,0.95341,0.29623,0.0654332,0.23079726099967957,0.221807,1.10269,0.29793,0.760092,,,3.06446,3.98854,4.38289,38.880001068115234,,,,,,,878.8,5.326060606060606,829,5.024242424242424,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Fried","NYY",14,9,19,3.32434,31,31,0,0,,189,779,169,76,70,17,54,,7,176,8.37271,2.5782,3.24751,0.812211,0.225241,0.069358,0.15588263422250748,0.234682,1.17982,0.288254,0.73671,,,3.4185,3.90626,3.96213,51.470001220703125,,,,,,,919.1000000000003,4.862962962962964,893,4.724867724867725,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Hunter Brown","HOU",13,8,19,3.34635,31,31,0,0,,183,759,157,74,68,19,60,,7,197,9.66645,2.96635,3.2587,0.939784,0.259133,0.0795203,0.1796128749847412,0.227467,1.18892,0.290423,0.751651,,,3.44541,3.78018,3.98734,37.0099983215332,,,,,,,905.3,4.946994535519125,861,4.704918032786885,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",12,10,17,3.71586,31,31,0,0,,178,746,169,80,74,21,47,,5,186,9.3823,2.38646,3.93147,1.0792,0.249291,0.063409,0.1858815923333168,0.244162,1.21446,0.304296,0.733285,,,3.49041,3.71257,3.37465,135,,,,,,,835.5000000000001,4.693820224719102,833,4.679775280898877,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
