Name,Team,total_sgp,dollar_value,player_type,rank,overall_rank
Aaron Judge,NYY,44.19112337662338,24.100523207770927,Hitter,1,1
Juan Soto,NYM,42.46486832611833,23.159075090404517,Hitter,2,2
Shohei Ohtani,LAD,38.97284632034632,21.254630239005365,Hitter,3,3
Ronald Acuña Jr.,ATL,37.0399347041847,20.20047778248475,Hitter,4,4
Yordan Alvarez,HOU,31.480861832611836,17.168724920870382,Hitter,5,5
Vladimir Guerrero Jr.,TOR,31.15697510822511,16.99208674285338,Hitter,6,6
Kyle Tucker,LAD,30.739432900432902,16.764371652124478,Hitter,7,7
Fernando Tatis Jr.,SDP,27.598732683982686,15.0515272464706,Hitter,8,8
Bryce Harper,PHI,27.0324917027417,14.742716271169432,Hitter,9,9
Corbin Carroll,ARI,26.266565656565664,14.325003005679863,Hitter,10,10
Freddie Freeman,LAD,26.24909199134199,14.315473388823127,Hitter,11,11
Gunnar Henderson,BAL,26.18055663780664,14.278096247166092,Hitter,12,12
Geraldo Perdomo,ARI,25.797994588744594,14.069458293718874,Hitter,13,13
José Ramírez,CLE,25.701718975468985,14.016952440171856,Hitter,14,14
Bobby Witt Jr.,KCR,25.43589682539683,13.871980952519147,Hitter,15,15
Roman Anthony,BOS,25.002711760461757,13.635734713161265,Hitter,16,16
Kyle Schwarber,PHI,24.70293434343435,13.472245033691914,Hitter,17,17
Yandy Díaz,TBR,24.554700216450215,13.391402553469865,Hitter,18,18
Mookie Betts,LAD,24.309267316017312,13.257550755622999,Hitter,19,19
Ketel Marte,ARI,24.258961038961033,13.230115209634304,Hitter,20,20
Elly De La Cruz,CIN,24.023011544011542,13.101435378835975,Hitter,21,21
James Wood,WSN,23.951600649350645,13.062490002648207,Hitter,22,22
Nick Kurtz,ATH,23.828412337662346,12.995306764524406,Hitter,23,23
Wyatt Langford,TEX,23.382907647907643,12.752341768520623,Hitter,24,24
Iván Herrera,STL,23.24090981240981,12.67490037603321,Hitter,25,25
Rafael Devers,SFG,22.533908730158732,12.289323031789348,Hitter,26,26
William Contreras,MIL,22.12422871572872,12.065895747278327,Hitter,27,27
Pete Alonso,BAL,21.890754689754694,11.93856596356943,Hitter,28,28
Francisco Lindor,NYM,21.792682539682534,11.8850803323329,Hitter,29,29
Brent Rooker,ATH,21.655261544011545,11.810135012043629,Hitter,30,30
Luke Keaschall,MIN,21.23970274170275,11.583501611623342,Hitter,31,31
Corey Seager,TEX,21.231505772005768,11.57903122835809,Hitter,32,32
Matt Olson,ATL,21.169071789321794,11.544981592737726,Hitter,33,33
Julio Rodríguez,SEA,21.089571067821073,11.50162426580957,Hitter,34,34
Nolan Schanuel,LAA,20.631195887445884,11.251640087350278,Hitter,35,35
Jonathan Aranda,TBR,20.620136002886,11.24560835554208,Hitter,36,36
Steven Kwan,CLE,20.571232683982686,11.21893794116674,Hitter,37,37
Christian Yelich,MIL,20.154475468975466,10.991650962135095,Hitter,38,38
George Springer,TOR,20.047102453102454,10.933092915559053,Hitter,39,39
Munetaka Murakami,CHW,19.775752164502165,10.785106545714786,Hitter,40,40
Jurickson Profar,ATL,19.74677994227995,10.769305958160215,Hitter,41,41
Trea Turner,PHI,19.68911111111111,10.737855094327122,Hitter,42,42
Mike Trout,LAA,19.54770779220779,10.660737933492781,Hitter,43,43
Gleyber Torres,DET,19.22745851370852,10.48608351018327,Hitter,44,44
Cal Raleigh,SEA,19.159415223665228,10.448974725307053,Hitter,45,45
Ian Happ,CHC,19.086503607503605,10.409210900286284,Hitter,46,46
Zach Neto,LAA,19.011974747474753,10.368565078602462,Hitter,47,47
Willson Contreras,BOS,18.97520490620491,10.348511901738924,Hitter,48,48
Will Smith,LAD,18.951984487734485,10.33584817673082,Hitter,49,49
Spencer Horwitz,PIT,18.90025468975469,10.307636284805827,Hitter,50,50
Seiya Suzuki,CHC,18.791659090909096,10.248411477870404,Hitter,51,51
Xavier Edwards,MIA,18.742902958152953,10.221821334438292,Hitter,52,52
Junior Caminero,TBR,18.73313275613275,10.216492957095953,Hitter,53,53
Matt Chapman,SFG,18.591850649350654,10.139441901744283,Hitter,54,54
Randy Arozarena,SEA,18.54062049062049,10.111502498192772,Hitter,55,55
Alex Bregman,CHC,18.359854256854256,10.012917975347872,Hitter,56,56
Michael Busch,CHC,18.354977994227994,10.010258606868147,Hitter,57,57
Josh Naylor,SEA,18.204688672438675,9.928295284578413,Hitter,58,58
Brendan Donovan,STL,18.138755411255413,9.892337246631095,Hitter,59,59
Nico Hoerner,CHC,17.918597402597396,9.772269622375,Hitter,60,60
