Name,Team,total_sgp,marginal_sgp,dollar_value,player_type,position_rank,playing_time,overall_rank
Shohei Ohtani,LAD,25.211072709389256,17.444761410170514,59.510004586957294,Hitter,1,679,1
Aaron Judge,NYY,24.312610770082927,16.546299470864184,56.496549088542075,Hitter,2,672,2
Juan Soto,NYM,24.2514472001809,16.485135900962156,56.29140551154619,Hitter,3,686,3
Ronald Acuña Jr.,ATL,21.52702591262433,13.76071461340559,47.15365359372384,Hitter,4,651,4
Tarik Skubal,DET,32.38798160690571,23.553637413394043,46.805151520342676,Pitcher,1,200,5
Kyle Tucker,LAD,19.4824264197019,11.716115120483156,40.29603468472365,Hitter,5,651,6
Corbin Carroll,ARI,19.11670500877695,11.350393709558208,39.069399311064046,Hitter,6,665,7
Garrett Crochet,BOS,28.11353258964144,19.279188396129772,38.49255922449497,Pitcher,2,197,8
Bobby Witt Jr.,KCR,18.675561419128254,10.909250119909512,37.58979676179652,Hitter,7,679,9
José Ramírez,CLE,18.512073115651617,10.745761816432875,37.04145441641168,Hitter,8,679,10
Fernando Tatis Jr.,SDP,18.505234867688714,10.738923568469971,37.01851882501729,Hitter,9,672,11
Elly De La Cruz,CIN,18.386202099344324,10.619890800125582,36.61928104479933,Hitter,10,672,12
Paul Skenes,PIT,26.984951582052744,18.150607388541076,36.29778891584682,Pitcher,3,189,13
Vladimir Guerrero Jr.,TOR,18.16475312228546,10.398441823066719,35.87653768713225,Hitter,11,679,14
Gunnar Henderson,BAL,17.697752689730976,9.931441390512234,34.31021087942116,Hitter,12,672,15
Kyle Schwarber,PHI,17.441796373653865,9.675485074435123,33.451729363073156,Hitter,13,686,16
Julio Rodríguez,SEA,16.83923945833147,9.072928159112728,31.430743976660146,Hitter,14,686,17
Bryce Harper,PHI,16.562482826148038,8.796171526929296,30.502497872412327,Hitter,15,665,18
Francisco Lindor,NYM,16.340700648075806,8.574389348857064,29.75863695329731,Hitter,16,686,19
Bryan Woo,SEA,23.250175683219503,14.415831489707834,29.034707934422755,Pitcher,4,195,20
Logan Webb,SFG,22.870392534433698,14.03604834092203,28.29613731071458,Pitcher,5,202,21
Geraldo Perdomo,ARI,15.86476814324979,8.098456844031048,28.162351834475494,Hitter,17,686,22
Yordan Alvarez,HOU,15.739718044592145,7.973406745373403,27.742931833592444,Hitter,18,560,23
Wyatt Langford,TEX,15.725633510824885,7.959322211606143,27.695692085455388,Hitter,19,644,24
Zach Neto,LAA,15.622451481343308,7.856140182124566,27.349617933089,Hitter,20,665,25
