Team,Player,DraftRound,YearsKept,OverallPick
Bowls on Parade,Bobby Witt Jr.,1,0,1
Fire Bad,Shohei Ohtani,1,0,2
Topline Jobbers,Aaron Judge,1,0,3
The Nudes,Ronald Acuña Jr.,1,0,10
Jeters Never Win,Jose Ramirez,1,0,5
K-Nines,Yordan Alvarez,1,0,6
The Phenomenal Smiths,Kyle Tucker,1,0,7
Hebrew Nationals,Vladimir Guerrero Jr.,1,0,8
The Funeral Home,Mookie Betts,1,0,9
Acuna Machado,Juan Soto,1,0,4
Kiki Kankles,Francisco Lindor,1,0,11
Giant City,Fernando Tatis Jr.,1,0,12
High Falls Heroes,Bryce Harper,1,0,13
Cybulski Tax Service,Matt Olson,1,0,14
Bowls on Parade,Ozzie Albies,2,0,28
Fire Bad,Logan Gilbert,2,0,27
Topline Jobbers,Pete Alonso,2,0,26
The Nudes,Trea Turner,2,0,19
Jeters Never Win,Manny Machado,2,0,24
K-Nines,Corey Seager,2,0,23
The Phenomenal Smiths,Rafael Devers,2,0,22
Hebrew Nationals,Teoscar Hernández,2,0,21
The Funeral Home,Zack Wheeler,2,0,20
Acuna Machado,Kyle Schwarber,2,0,25
Kiki Kankles,Freddie Freeman,2,0,18
Giant City,Julio Rodriguez,2,0,17
High Falls Heroes,Jazz Chisholm,2,0,16
Cybulski Tax Service,Austin Riley,2,0,15
Bowls on Parade,Emmanuel Clase,3,0,29
Fire Bad,Josh Hader,3,0,30
Topline Jobbers,Wyatt Langford,3,0,31
The Nudes,Yoshinobu Yamamoto,3,0,32
Jeters Never Win,Jose Altuve,3,0,33
K-Nines,Corbin Burnes,3,0,34
The Phenomenal Smiths,Bryan Reynolds,3,0,35
Hebrew Nationals,Adley Rutschman,3,0,36
The Funeral Home,Christian Yelich,3,0,37
Acuna Machado,Oneil Cruz,3,0,38
Kiki Kankles,Devin Williams,3,0,39
Giant City,Raisel Iglesias,3,0,40
High Falls Heroes,Chris Sale,3,0,41
Cybulski Tax Service,Dylan Cease,3,0,42
Bowls on Parade,Cody Bellinger,4,0,56
Fire Bad,Seiya Suzuki,4,0,55
Topline Jobbers,Junior Caminero,4,0,54
The Nudes,Tanner Scott,4,0,47
Jeters Never Win,Robert Suarez,4,0,52
K-Nines,Josh Naylor,4,0,51
The Phenomenal Smiths,Framber Valdez,4,0,50
Hebrew Nationals,Luis Robert Jr.,4,0,49
The Funeral Home,Shota Imanaga,4,0,48
Acuna Machado,Triston Casas,4,0,53
Kiki Kankles,Blake Snell,4,0,46
Giant City,Alex Bregman,4,0,45
High Falls Heroes,Mike Trout,4,0,44
Cybulski Tax Service,Riley Greene,4,0,43
