Round,Pick,Player,PlayerKey
1,1,Bobby Witt Jr.,458.p.11771
1,2,Shohei Ohtani (Batter),458.p.1000001
1,3,Aaron Judge,458.p.9877
1,4,Ronald Acuña Jr.,458.p.10646
1,5,José Ramírez,458.p.9507
1,6,Yordan Alvarez,458.p.10883
1,7,Kyle Tucker,458.p.10480
1,8,Vladimir Guerrero Jr.,458.p.10621
1,9,Mookie Betts,458.p.9552
1,10,Juan Soto,458.p.10626
1,11,Francisco Lindor,458.p.9116
1,12,Fernando Tatis Jr.,458.p.10639
1,13,Bryce Harper,458.p.8875
1,14,Matt Olson,458.p.9605
2,15,Unknown (458.p.10420),458.p.10420
2,16,Unknown (458.p.10839),458.p.10839
2,17,Julio Rodríguez,458.p.11384
2,18,Freddie Freeman,458.p.8658
2,19,Kyle Schwarber,458.p.9861
2,20,Zack Wheeler,458.p.9124
2,21,Teoscar Hernández,458.p.10366
2,22,Rafael Devers,458.p.10235
2,23,Corey Seager,458.p.9584
2,24,Manny Machado,458.p.9111
2,25,Trea Turner,458.p.10056
2,26,Pete Alonso,458.p.10918
2,27,Logan Gilbert,458.p.11381
2,28,Unknown (458.p.10237),458.p.10237
3,29,Unknown (458.p.11625),458.p.11625
3,30,Unknown (458.p.10131),458.p.10131
3,31,Wyatt Langford,458.p.62973
3,32,Yoshinobu Yamamoto,458.p.63423
3,33,Jose Altuve,458.p.8996
3,34,Unknown (458.p.10910),458.p.10910
3,35,Bryan Reynolds,458.p.10577
3,36,Adley Rutschman,458.p.11732
3,37,Christian Yelich,458.p.9320
3,38,Oneil Cruz,458.p.11370
3,39,Devin Williams,458.p.11628
3,40,Raisel Iglesias,458.p.9902
3,41,Chris Sale,458.p.8780
3,42,Dylan Cease,458.p.10438
4,43,Riley Greene,458.p.11760
4,44,Mike Trout,458.p.8861
4,45,Alex Bregman,458.p.10183
4,46,Blake Snell,458.p.10148
4,47,Unknown (458.p.11279),458.p.11279
4,48,Shota Imanaga,458.p.63640
4,49,Luis Robert Jr.,458.p.10765
4,50,Framber Valdez,458.p.11138
4,51,Josh Naylor,458.p.10572
4,52,Robert Suarez,458.p.12354
4,53,Tanner Scott,458.p.10432
4,54,Junior Caminero,458.p.60419
4,55,Seiya Suzuki,458.p.12588
4,56,Unknown (458.p.10504),458.p.10504
5,57,Unknown (458.p.11057),458.p.11057
5,58,Trevor Megill,458.p.11717
5,59,Willy Adames,458.p.9893
5,60,Vinnie Pasquantino,458.p.12449
5,61,Yainer Diaz,458.p.12435
5,62,Will Smith,458.p.10642
5,63,Willson Contreras,458.p.10166
5,64,Unknown (458.p.9517),458.p.9517
5,65,Aaron Nola,458.p.9882
5,66,Ian Happ,458.p.10440
5,67,Unknown (458.p.11847),458.p.11847
5,68,Ketel Marte,458.p.10036
5,69,Jarren Duran,458.p.11735
5,70,David Bednar,458.p.11645
6,71,Logan Webb,458.p.11235
6,72,Unknown (458.p.64803),458.p.64803
6,73,Max Fried,458.p.9620
6,74,Hunter Greene,458.p.10862
6,75,Randy Arozarena,458.p.11104
6,76,Luis Arraez,458.p.11221
6,77,Freddy Peralta,458.p.11014
6,78,Bo Bichette,458.p.10766
6,79,Hunter Brown,458.p.12141
6,80,Unknown (458.p.10601),458.p.10601
6,81,Unknown (458.p.11127),458.p.11127
6,82,Zac Gallen,458.p.11116
6,83,Brandon Nimmo,458.p.9876
6,84,Alec Bohm,458.p.11365
7,85,Unknown (458.p.10514),458.p.10514
7,86,Salvador Perez,458.p.9015
7,87,Bryce Miller,458.p.12540
7,88,Cristopher Sánchez,458.p.11706
7,89,Unknown (458.p.12776),458.p.12776
7,90,Steven Kwan,458.p.12314
7,91,Paul Goldschmidt,458.p.8967
7,92,Nick Castellanos,458.p.9108
7,93,Carlos Estévez,458.p.10274
7,94,Unknown (458.p.9606),458.p.9606
7,95,Kenley Jansen,458.p.8758
7,96,Yandy Díaz,458.p.10465
7,97,Unknown (458.p.11253),458.p.11253
7,98,Unknown (458.p.9228),458.p.9228
8,99,Unknown (458.p.12212),458.p.12212
8,100,Unknown (458.p.9691),458.p.9691
8,101,Jeremy Peña,458.p.11768
8,102,Kevin Gausman,458.p.9334
8,103,Unknown (458.p.10548),458.p.10548
8,104,Kyle Finnegan,458.p.11709
8,105,Carlos Rodón,458.p.9823
8,106,Lucas Erceg,458.p.10659
8,107,Unknown (458.p.10215),458.p.10215
8,108,Matt Shaw,458.p.62984
8,109,Unknown (458.p.9684),458.p.9684
8,110,Zach Eflin,458.p.10141
8,111,Unknown (458.p.12036),458.p.12036
8,112,Xander Bogaerts,458.p.9319
9,113,Unknown (458.p.12688),458.p.12688
9,114,Brandon Lowe,458.p.11125
9,115,Anthony Santander,458.p.10666
9,116,Jackson Holliday,458.p.60090
9,117,Clay Holmes,458.p.10569
9,118,Ryan Helsley,458.p.10946
9,119,Yusei Kikuchi,458.p.11263
9,120,Ezequiel Tovar,458.p.12322
9,121,Liam Hendriks,458.p.9057
9,122,Unknown (458.p.12503),458.p.12503
9,123,Shea Langeliers,458.p.11728
9,124,Cal Raleigh,458.p.11531
9,125,Unknown (458.p.9573),458.p.9573
9,126,Unknown (458.p.11759),458.p.11759
10,127,Gunnar Henderson,458.p.11731
10,128,Unknown (458.p.11292),458.p.11292
10,129,MacKenzie Gore,458.p.10940
10,130,Dansby Swanson,458.p.10234
10,131,Jhoan Duran,458.p.11495
10,132,Christian Walker,458.p.9846
10,133,Seth Lugo,458.p.10326
10,134,Brandon Woodruff,458.p.10730
10,135,Kerry Carpenter,458.p.12667
10,136,Unknown (458.p.11277),458.p.11277
10,137,Unknown (458.p.12301),458.p.12301
10,138,Pete Fairbanks,458.p.11597
10,139,Isaac Paredes,458.p.10881
10,140,Andrés Muñoz,458.p.11526
11,141,Unknown (458.p.60329),458.p.60329
11,142,Anthony Volpe,458.p.11809
11,143,Unknown (458.p.11210),458.p.11210
11,144,William Contreras,458.p.11268
11,145,Tyler Soderstrom,458.p.12005
11,146,CJ Abrams,458.p.11822
11,147,Eugenio Suárez,458.p.9724
11,148,Unknown (458.p.12554),458.p.12554
11,149,Unknown (458.p.12204),458.p.12204
11,150,Unknown (458.p.11238),458.p.11238
11,151,Taylor Ward,458.p.10496
11,152,Unknown (458.p.10227),458.p.10227
11,153,Unknown (458.p.11265),458.p.11265
11,154,Unknown (458.p.10919),458.p.10919
12,155,Calvin Faucher,458.p.12311
12,156,Michael Busch,458.p.11778
12,157,Spencer Strider,458.p.12281
12,158,Unknown (458.p.9727),458.p.9727
12,159,George Kirby,458.p.11826
12,160,Matt Chapman,458.p.10205
12,161,Jung Hoo Lee,458.p.63494
12,162,Nico Hoerner,458.p.11284
12,163,Tyler Glasnow,458.p.9616
12,164,Michael Harris II,458.p.12056
12,165,Bryan Woo,458.p.60584
12,166,Nathaniel Lowe,458.p.11090
12,167,Corbin Carroll,458.p.11722
12,168,Marcell Ozuna,458.p.9385
13,169,Unknown (458.p.12750),458.p.12750
13,170,Nick Pivetta,458.p.10683
13,171,Unknown (458.p.11202),458.p.11202
13,172,Unknown (458.p.60131),458.p.60131
13,173,Unknown (458.p.60218),458.p.60218
13,174,Elly De La Cruz,458.p.12393
13,175,Unknown (458.p.60122),458.p.60122
13,176,Edwin Díaz,458.p.10214
13,177,Logan O'Hoppe,458.p.12011
13,178,Sonny Gray,458.p.9459
13,179,Matt McLain,458.p.12390
13,180,Jesús Luzardo,458.p.10627
13,181,Unknown (458.p.11009),458.p.11009
13,182,Unknown (458.p.60056),458.p.60056
14,183,Tarik Skubal,458.p.11763
14,184,Unknown (458.p.12152),458.p.12152
14,185,Mason Miller,458.p.12505
14,186,Jacob deGrom,458.p.9701
14,187,Unknown (458.p.10175),458.p.10175
14,188,José Berríos,458.p.9872
14,189,Michael King,458.p.11661
14,190,Colton Cowser,458.p.12369
14,191,Cole Ragans,458.p.10610
14,192,Unknown (458.p.12429),458.p.12429
14,193,Ranger Suárez,458.p.11117
14,194,Bailey Ober,458.p.12096
14,195,Jackson Chourio,458.p.12480
14,196,Unknown (458.p.60137),458.p.60137
15,197,Jurickson Profar,458.p.9112
15,198,Royce Lewis,458.p.10916
15,199,Nick Lodolo,458.p.11750
15,200,Bryson Stott,458.p.11817
15,201,Unknown (458.p.11547),458.p.11547
15,202,Unknown (458.p.11850),458.p.11850
15,203,Unknown (458.p.11743),458.p.11743
15,204,Jake Burger,458.p.10877
15,205,Mitch Keller,458.p.10565
15,206,Unknown (458.p.10970),458.p.10970
15,207,Unknown (458.p.12346),458.p.12346
15,208,Jasson Domínguez,458.p.11805
15,209,Aroldis Chapman,458.p.8616
15,210,Ryan Walker,458.p.61627
16,211,Jack Flaherty,458.p.10592
16,212,Shane Baz,458.p.10934
16,213,Gavin Williams,458.p.12401
