Team,Player,Position,DraftRound,YearsKept
Your Team,Julio Rodriguez,OF,15,1
Your Team,Gunnar Henderson,SS,18,0
Your Team,Corbin Carroll,OF,12,1
Your Team,Pete Alonso,1B,3,0
Your Team,Bo Bichette,SS,4,2
Your Team,Adley Rutschman,C,8,0
Your Team,Tarik Skubal,SP,10,1
Your Team,Logan Webb,SP,7,0
Your Team,Emmanuel Clase,RP,9,1
Your Team,Ozzie Albies,2B,11,0
Your Team,Luis Robert Jr.,OF,6,0
Your Team,Hunter Brown,SP,0,0
Your Team,Devin Williams,RP,14,0
Your Team,Pablo Lopez,SP,9,0
Your Team,Austin Riley,3B,5,1
Dynasty Kings,Ronald Acuna Jr.,OF,1,2
Dynasty Kings,Juan Soto,OF,2,1
Dynasty Kings,Aaron Judge,OF,3,0
Dynasty Kings,Spencer Strider,SP,8,1
Dynasty Kings,Bobby Witt Jr.,SS,5,1
Dynasty Kings,Corbin Burnes,SP,4,0
Dynasty Kings,Marcus Semien,2B,10,0
Dynasty Kings,Dylan Cease,SP,12,0
Dynasty Kings,Will Smith,C,9,0
Dynasty Kings,Sonny Gray,SP,15,0
The Underdogs,Elly De La Cruz,SS,0,0
The Underdogs,Shohei Ohtani,OF,1,2
The Underdogs,Mookie Betts,OF,2,2
The Underdogs,Framber Valdez,SP,11,0
The Underdogs,Josh Hader,RP,7,1
The Underdogs,Kevin Gausman,SP,8,0
The Underdogs,Vladimir Guerrero Jr.,1B,4,2
The Underdogs,Bryce Harper,1B,3,2
The Underdogs,Luis Castillo,SP,10,0
The Underdogs,Alexis Diaz,RP,18,0
Moneyball,Jose Ramirez,3B,3,1
Moneyball,Kyle Tucker,OF,6,0
Moneyball,Trea Turner,SS,2,1
Moneyball,Tyler Glasnow,SP,9,0
Moneyball,Ryan Helsley,RP,15,0
Moneyball,Zac Gallen,SP,10,0
Moneyball,Fernando Tatis Jr.,SS,4,2
Moneyball,Mike Trout,OF,1,2
Moneyball,Max Fried,SP,8,0
Moneyball,Andres Munoz,RP,16,0
Moneyball,Pete Fairbanks,RP,17,0
Rebuilding,Corey Seager,SS,2,1
Rebuilding,Matt Olson,1B,4,0
Rebuilding,Freddie Freeman,1B,3,2
Rebuilding,Zack Wheeler,SP,5,1
Rebuilding,Gerrit Cole,SP,1,2
Rebuilding,Rafael Devers,3B,6,0
Rebuilding,Francisco Lindor,SS,4,1
Rebuilding,Felix Bautista,RP,14,0
Rebuilding,Blake Snell,SP,7,0
Rebuilding,Manny Machado,3B,5,1
