Team,Player,Position,DraftRound,YearsKept
Giant City,Cal Raleigh,C,9,0
Giant City,Brandon Lowe,"1B,2B",9,0
Giant City,Ketel Marte,2B,5,2
Giant City,Alex Bregman,3B,4,0
Giant City,Byron Buxton,OF,17,0
Giant City,Julio Rodríguez,OF,2,0
Giant City,Jurickson Profar,OF,15,1
Giant City,Fernando Tatis Jr.,OF,1,0
Giant City,Trevor Story,SS,23,0
Giant City,Yandy Díaz,1B,7,0
Giant City,Jeremy Peña,SS,8,0
Giant City,Jacob Wilson,SS,0,0
Giant City,Jasson Domínguez,OF,15,2
Giant City,Spencer Strider,SP,12,3
Giant City,Edward Cabrera,SP,0,0
Giant City,Raisel Iglesias,RP,3,0
Giant City,Mason Miller,RP,14,2
Giant City,Hogan Harris,"SP,RP",0,0
Giant City,Jeremiah Estrada,RP,21,0
Giant City,Daniel Palencia,RP,0,0
Giant City,Tyler Kinley,RP,22,0
Giant City,Jesús Luzardo,SP,13,0
Giant City,Max Fried,SP,6,0
Giant City,Gavin Williams,SP,16,0
Giant City,Shohei Ohtani (Pitcher),SP,0,0
Giant City,MacKenzie Gore,SP,10,0
Acuna Machado,J.T. Realmuto,C,0,0
Acuna Machado,Ben Rice,"C,1B",0,0
Acuna Machado,Otto Lopez,"2B,SS",0,0
Acuna Machado,Maikel Garcia,"2B,3B,SS,OF",19,0
Acuna Machado,Matt McLain,"2B,SS",13,2
Acuna Machado,Randy Arozarena,OF,6,0
Acuna Machado,Juan Soto,OF,1,0
Acuna Machado,Kyle Schwarber,OF,2,0
Acuna Machado,Jo Adell,OF,0,0
Acuna Machado,Ian Happ,OF,5,0
Acuna Machado,Oneil Cruz,"SS,OF",3,0
Acuna Machado,Simeon Woods Richardson,SP,0,0
Acuna Machado,Lance McCullers Jr.,SP,0,0
Acuna Machado,Jhoan Duran,RP,10,3
Acuna Machado,Brad Lord,"SP,RP",0,0
Acuna Machado,Dennis Santana,RP,0,0
Acuna Machado,Chase Burns,"SP,RP",0,0
Acuna Machado,David Peterson,SP,0,0
Acuna Machado,JP Sears,SP,0,0
Acuna Machado,Connelly Early,SP,0,0
Acuna Machado,George Kirby,SP,12,3
Acuna Machado,Sandy Alcantara,SP,17,0
Acuna Machado,Tyler Wells,SP,0,0
Acuna Machado,Sonny Gray,SP,13,2
Acuna Machado,Andrew Painter,SP,22,0
Acuna Machado,Luis Garcia,SP,18,0
Bowls on Parade,Ivan Herrera,C,0,0
Bowls on Parade,Colson Montgomery,"3B,SS",0,0
Bowls on Parade,Bobby Witt Jr.,SS,1,0
Bowls on Parade,Jackson Merrill,OF,17,1
Bowls on Parade,Andy Pages,OF,24,0
Bowls on Parade,Marcell Ozuna,OF,12,2
Bowls on Parade,Mickey Moniak,OF,0,0
Bowls on Parade,Travis Bazzana,2B,0,0
Bowls on Parade,Kristian Campbell,"2B,OF",19,0
Bowls on Parade,Coby Mayo,"1B,3B",0,0
Bowls on Parade,Connor Norby,"2B,3B",19,0
Bowls on Parade,Leo De Vries,SS,0,0
Bowls on Parade,Brett Baty,"2B,3B",0,0
Bowls on Parade,Cam Smith,"3B,OF",21,0
Bowls on Parade,Rhys Hoskins,1B,22,0
Bowls on Parade,Alex Vesia,RP,0,0
Bowls on Parade,Riley O'Brien,RP,0,0
Bowls on Parade,Edgardo Henriquez,RP,0,0
Bowls on Parade,Andrés Muñoz,RP,10,3
Bowls on Parade,Noah Cameron,SP,0,0
Bowls on Parade,Shane Baz,SP,16,0
Bowls on Parade,Spencer Arrighetti,SP,18,1
Bowls on Parade,Noah Schultz,SP,0,0
Bowls on Parade,Quinn Mathews,SP,0,0
Bowls on Parade,Braxton Ashcraft,"SP,RP",0,0
Bowls on Parade,Kyle Stowers,OF,0,0
Bowls on Parade,Cade Horton,SP,0,0
Bowls on Parade,Jared Jones,SP,18,1
Cybulski Tax Service,Kyle Teel,C,0,0
Cybulski Tax Service,Matt Olson,1B,1,0
Cybulski Tax Service,Luis García Jr.,2B,18,0
Cybulski Tax Service,José Caballero,"2B,3B,SS,OF",0,0
Cybulski Tax Service,Gunnar Henderson,SS,10,3
Cybulski Tax Service,Noelvi Marte,"3B,OF",0,0
Cybulski Tax Service,Pete Crow-Armstrong,OF,17,0
Cybulski Tax Service,Jordan Beck,OF,0,0
Cybulski Tax Service,Jonathan Aranda,"1B,2B",23,0
Cybulski Tax Service,Austin Wells,C,20,0
Cybulski Tax Service,Nolan Schanuel,1B,0,0
Cybulski Tax Service,Riley Greene,OF,4,0
Cybulski Tax Service,Ramón Laureano,OF,0,0
Cybulski Tax Service,Logan Webb,SP,6,0
Cybulski Tax Service,Tarik Skubal,SP,14,2
Cybulski Tax Service,Emilio Pagán,RP,0,0
Cybulski Tax Service,Will Vest,RP,0,0
Cybulski Tax Service,Luis Gil,SP,0,0
Cybulski Tax Service,Keegan Akin,"SP,RP",0,0
Cybulski Tax Service,Michael Kelly,RP,0,0
Cybulski Tax Service,Calvin Faucher,RP,12,0
Cybulski Tax Service,Dylan Cease,SP,3,0
Cybulski Tax Service,Merrill Kelly,SP,25,0
Cybulski Tax Service,Nick Lodolo,SP,0,0
Cybulski Tax Service,Jack Flaherty,SP,16,0
Cybulski Tax Service,Evan Carter,OF,22,0
Cybulski Tax Service,José Alvarado,RP,24,0
Fire Bad,Salvador Perez,"C,1B",7,1
Fire Bad,Isaac Paredes,"1B,3B",10,2
Fire Bad,Caleb Durbin,"2B,3B,SS",0,0
